Town,Town Key,Current ECS Entitlement,% of Total,Percent Increase,Enhanced Education Funding,New Total Funding (ECS + EEF),District Numbers,District Labels,District Count,Needs Review
Tolland,tolland,9105528,0.37,14.861290855401247,1353199,10458727,8; 53,8th District; 53rd District,2,no
Torrington,torrington,34701422,1.41,14.861287240620861,5157078,39858500,63,63rd District,1,no
Trumbull,trumbull,3417049,0.14,14.86127357260607,507817,3924866,112; 122; 123,112th District; 122nd District; 123rd District,3,no
Union,union,211728,0.01,14.861520441320941,31466,243194,52,52nd District,1,no
Vernon,vernon,23512721,0.96,14.861287215546001,3494293,27007014,53,53rd District,1,no
Voluntown,voluntown,2117243,0.09,14.86130784232136,314650,2431893,45,45th District,1,no
Wallingford,wallingford,21286162,0.87,14.861284058629263,3163397,24449559,90,90th District,1,no
Warren,warren,173740,0.01,14.861286980545643,25820,199560,66,66th District,1,no
Washington,washington,337108,0.01,14.861409399954912,50099,387207,,,0,yes
Waterbury,waterbury,201118542,8.19,14.861286136412028,29888802,231007344,68; 71; 89,68th District; 71st District; 89th District,3,no
Waterford,waterford,326444,0.01,14.861354474274302,48514,374958,,,0,yes
Watertown,watertown,12991496,0.53,14.861283103962778,1930703,14922199,68,68th District,1,no
Westbrook,westbrook,80365,0,14.860946929633547,11943,92308,23; 35,23rd District; 35th District,2,no
West Hartford,westhartford,25567009,1.04,14.861284712654498,3799586,29366595,,,0,yes
West Haven,westhaven,59004684,2.4,14.861286266697062,8768855,67773539,,,0,yes
Weston,weston,263792,0.01,14.861330138897314,39203,302995,,,0,yes
Westport,westport,610400,0.02,14.861238532110091,90713,701113,,,0,yes
Wethersfield,wethersfield,14726361,0.6,14.86128854236291,2188527,16914888,,,0,yes
Willington,willington,3456594,0.14,14.861276736579418,513694,3970288,53,53rd District,1,no
Wilton,wilton,461796,0.02,14.861324047847969,68629,530425,,,0,yes
Winchester,winchester,8024957,0.33,14.861288353320774,1192612,9217569,63,63rd District,1,no
Windham,windham,33829263,1.38,14.861287400792623,5027464,38856727,,,0,yes
Windsor,windsor,12130392,0.49,14.861283955209363,1802732,13933124,,,0,yes
Windsor Locks,windsorlocks,5225299,0.21,14.861293104949592,776547,6001846,61,61st District,1,no
Wolcott,wolcott,12387171,0.5,14.861286729633424,1840893,14228064,80,80th District,1,no
Woodbridge,woodbridge,653255,0.03,14.861271632057926,97082,750337,,,0,yes
Woodbury,woodbury,2936816,0.12,14.86129876710015,436449,3373265,66,66th District,1,no
Woodstock,woodstock,4990532,0.2,14.861281322311932,741657,5732189,52,52nd District,1,no
